rows/crime,rows/difference,rows/end_period1,rows/end_period2,rows/period1_count,rows/period2_count,rows/population,rows/sector,rows/start_period1,rows/start_period2
LESIONES POR ARMA DE FUEGO,1,2022-12,2023-12,4,5,31805,ALPES,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-2,2022-12,2023-12,3,1,4441,ANGEL-ZONA ROSA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,3,2022-12,2023-12,9,12,30506,ARAGON,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-1,2022-12,2023-12,3,2,22309,ARENAL,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,1,2022-12,2023-12,9,10,12999,ASTURIAS,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,5,2022-12,2023-12,2,7,9110,BUENAVISTA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,0,2022-12,2023-12,0,0,13501,CHAPULTEPEC,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-1,2022-12,2023-12,3,2,13900,CHURUBUSCO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-5,2022-12,2023-12,5,0,23963,CLAVERIA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,0,2022-12,2023-12,1,1,9495,COAPA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,1,2022-12,2023-12,3,4,12135,CONGRESO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-7,2022-12,2023-12,12,5,15715,CONSULADO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,1,2022-12,2023-12,2,3,10129,CORREDOR-CENTRO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,0,2022-12,2023-12,1,1,14705,COYOACAN,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-1,2022-12,2023-12,1,0,24009,CUAJIMALPA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,1,2022-12,2023-12,7,8,30453,CUAUTEPEC,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-4,2022-12,2023-12,10,6,20511,CUCHILLA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-3,2022-12,2023-12,4,1,11851,CUITLAHUAC,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-2,2022-12,2023-12,4,2,18589,CULHUACAN,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-1,2022-12,2023-12,3,2,7971,DEL VALLE,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-1,2022-12,2023-12,6,5,24310,DINAMO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-2,2022-12,2023-12,2,0,20452,EL YAQUI,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-3,2022-12,2023-12,7,4,32788,ESTRELLA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,0,2022-12,2023-12,6,6,38354,FUENTE,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-3,2022-12,2023-12,6,3,19129,GRANJAS,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-3,2022-12,2023-12,3,0,21186,HORMIGA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-7,2022-12,2023-12,15,8,33196,HUIPULCO-HOSPITALES,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-2,2022-12,2023-12,8,6,16877,IZTACCIHUATL,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-4,2022-12,2023-12,7,3,30260,LA NORIA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-2,2022-12,2023-12,2,0,14968,LA RAZA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-1,2022-12,2023-12,4,3,16393,LINDAVISTA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,3,2022-12,2023-12,4,7,12330,MERCED-BALBUENA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,4,2022-12,2023-12,1,5,24021,MILPA ALTA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,1,2022-12,2023-12,2,3,5681,MIXCALCO-HERALDO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-6,2022-12,2023-12,15,9,33579,MIXQUIC,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,5,2022-12,2023-12,5,10,12102,MOCTEZUMA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,3,2022-12,2023-12,3,6,12649,MORELOS,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-2,2022-12,2023-12,3,1,7856,NAPOLES,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,0,2022-12,2023-12,1,1,9808,NARVARTE-ALAMOS,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,2,2022-12,2023-12,0,2,6406,NATIVITAS,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,26,2022-12,2023-12,410,436,,NO ESPECIFICADO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-8,2022-12,2023-12,22,14,24085,OASIS,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-3,2022-12,2023-12,9,6,47637,PADIERNA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-2,2022-12,2023-12,7,5,13284,PANTITLAN,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-1,2022-12,2023-12,9,8,45966,PLATEROS,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-1,2022-12,2023-12,1,0,5611,POLANCO-CASTILLO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-1,2022-12,2023-12,1,0,12243,PORTALES,2022-01,2023-01
